Name,Symbol,Price (USD),Market Cap,Rank
Bitcoin,BTC,61639.0,1235950846796,1
Ethereum,ETH,1714.51,206911561205,2
Tether,USDT,0.998814,184071281463,3
BNB,BNB,561.12,75629704558,4
USDC,USDC,0.999849,73145886760,5
XRP,XRP,1.098,68320973287,6
Solana,SOL,80.84,46967356993,7
TRON,TRX,0.318561,30215958861,8
Figure Heloc,FIGR_HELOC,1.039,20256532811,9
Hyperliquid,HYPE,67.18,14944624578,10
Dogecoin,DOGE,0.075079,11629084994,11
Rain,RAIN,0.01555759,10300467778,12
USDS,USDS,0.999658,10111393396,13
LEO Token,LEO,9.11,8386532924,14
Zcash,ZEC,436.22,7324024898,15
Stellar,XLM,0.199175,6769507725,16
WhiteBIT Coin,WBT,55.76,6587464968,17
Cardano,ADA,0.16478,6139429830,18
Monero,XMR,317.89,5967761878,19
Chainlink,LINK,7.76,5808350804,20
Canton,CC,0.139638,5442427014,21
Dai,DAI,0.999692,4620392980,22
USD1,USD1,0.999041,4604311010,23
Gram (prev. Toncoin),GRAM,1.66,4488071753,24
Bitcoin Cash,BCH,222.82,4468832405,25
Ethena USDe,USDE,0.998447,4444804076,26
Litecoin,LTC,43.23,3343569103,27
Hedera,HBAR,0.071383,3125837499,28
Circle USYC,USYC,1.13,3108205804,29
Global Dollar,USDG,0.99978,3010796224,30
Sui,SUI,0.737796,2989193404,31
Avalanche,AVAX,6.84,2952908254,32
LAB,LAB,9.04,2826826200,33
PayPal USD,PYUSD,0.999667,2761615910,34
Cronos,CRO,0.056834,2617678028,35
Tether Gold,XAUT,4159.43,2548996401,36
NEAR Protocol,NEAR,1.95,2537419787,37
Shiba Inu,SHIB,4.27e-06,2516249697,38
MemeCore,M,1.72,2274071633,39
BlackRock USD Institutional Digital Liquidity Fund,BUIDL,1.0,2242107932,40
Ondo US Dollar Yield,USDY,1.14,2153575786,41
Bittensor,TAO,212.32,2038286744,42
Uniswap,UNI,3.2,1989329432,43
PAX Gold,PAXG,4164.05,1882773902,44
World Liberty Financial,WLFI,0.057289,1821463313,45
Aster,ASTER,0.63748,1708728515,46
OKB,OKB,80.22,1684612452,47
Ripple USD,RLUSD,1.0,1634636170,48
Ondo,ONDO,0.329537,1604781576,49
HTX DAO,HTX,1.66e-06,1501833389,50
Worldcoin,WLD,0.416023,1460024739,51
Mantle,MNT,0.440812,1455671635,52
Polkadot,DOT,0.852633,1442238181,53
Falcon USD,USDF,0.995361,1421084912,54
USDD,USDD,0.998822,1384952512,55
Sky,SKY,0.058531,1364494392,56
BFUSD,BFUSD,0.998281,1317731126,57
Aave,AAVE,85.9,1303983903,58
Morpho,MORPHO,2.0,1298617512,59
Pi Network,PI,0.117558,1280421624,60
Internet Computer,ICP,2.21,1225811460,61
Bitget Token,BGB,1.69,1179498307,62
Ethereum Classic,ETC,7.09,1110483599,63
DeXe,DEXE,22.62,1057719771,64
Pepe,PEPE,2.47e-06,1038825252,65
United Stables,U,0.999599,1021448879,66
Quant,QNT,67.47,981232015,67
KuCoin,KCS,7.15,980823439,68
Spiko EU T-Bills Money Market Fund,EUTBL,1.21,977422585,69
Blockchain Capital,BCAP,106.97,974722514,70
Audiera,BEAT,2.86,884173658,71
USDGO,USDGO,0.999751,877986187,72
Janus Henderson Anemoy Treasury Fund,JTRSY,1.11,870438934,73
Kaspa,KAS,0.03097992,851838990,74
Invesco Short Duration US Government Securities Fund,USTB,11.13,847980093,75
​​Stable,STABLE,0.03503184,845764227,76
Render,RENDER,1.59,826246181,77
Cosmos Hub,ATOM,1.58,815678220,78
Jupiter,JUP,0.241606,802247359,79
Algorand,ALGO,0.087326,781558403,80
POL (ex-MATIC),POL,0.073193,781043687,81
NEXO,NEXO,0.773588,773588404,82
JUST,JST,0.088991,760320982,83
USDtb,USDTB,1.0,726793221,84
ADI,ADI,5.77,723244213,85
Ethena,ENA,0.077204,717894701,86
Gate,GT,6.63,705515362,87
Beldex,BDX,0.087912,691780145,88
币安人生 (BinanceLife),币安人生,0.689968,689963220,89
Janus Henderson Anemoy AAA CLO Fund,JAAA,1.04,682398960,90
Spiko Amundi Overnight Swap Fund (EUR),EURSAFO,1.15,675272613,91
Venice Token,VVV,14.0,660764060,92
Pump.fun,PUMP,0.00156038,631666723,93
Filecoin,FIL,0.779063,619395368,94
GHO,GHO,0.99804,597830321,95
Flare,FLR,0.00666435,577899714,96
XDC Network,XDC,0.02846088,567700372,97
Usual USD,USD0,0.998534,552677062,98
YLDS,YLDS,0.999737,549141020,99
Midnight,NIGHT,0.03185133,528721693,100
