Name,URL
Bulbasaur,https://pokeapi.co/api/v2/pokemon/1/
Ivysaur,https://pokeapi.co/api/v2/pokemon/2/
Venusaur,https://pokeapi.co/api/v2/pokemon/3/
Charmander,https://pokeapi.co/api/v2/pokemon/4/
Charmeleon,https://pokeapi.co/api/v2/pokemon/5/
Charizard,https://pokeapi.co/api/v2/pokemon/6/
Squirtle,https://pokeapi.co/api/v2/pokemon/7/
Wartortle,https://pokeapi.co/api/v2/pokemon/8/
Blastoise,https://pokeapi.co/api/v2/pokemon/9/
Caterpie,https://pokeapi.co/api/v2/pokemon/10/
Metapod,https://pokeapi.co/api/v2/pokemon/11/
Butterfree,https://pokeapi.co/api/v2/pokemon/12/
Weedle,https://pokeapi.co/api/v2/pokemon/13/
Kakuna,https://pokeapi.co/api/v2/pokemon/14/
Beedrill,https://pokeapi.co/api/v2/pokemon/15/
Pidgey,https://pokeapi.co/api/v2/pokemon/16/
Pidgeotto,https://pokeapi.co/api/v2/pokemon/17/
Pidgeot,https://pokeapi.co/api/v2/pokemon/18/
Rattata,https://pokeapi.co/api/v2/pokemon/19/
Raticate,https://pokeapi.co/api/v2/pokemon/20/
Spearow,https://pokeapi.co/api/v2/pokemon/21/
Fearow,https://pokeapi.co/api/v2/pokemon/22/
Ekans,https://pokeapi.co/api/v2/pokemon/23/
Arbok,https://pokeapi.co/api/v2/pokemon/24/
Pikachu,https://pokeapi.co/api/v2/pokemon/25/
Raichu,https://pokeapi.co/api/v2/pokemon/26/
Sandshrew,https://pokeapi.co/api/v2/pokemon/27/
Sandslash,https://pokeapi.co/api/v2/pokemon/28/
Nidoran-F,https://pokeapi.co/api/v2/pokemon/29/
Nidorina,https://pokeapi.co/api/v2/pokemon/30/
Nidoqueen,https://pokeapi.co/api/v2/pokemon/31/
Nidoran-M,https://pokeapi.co/api/v2/pokemon/32/
Nidorino,https://pokeapi.co/api/v2/pokemon/33/
Nidoking,https://pokeapi.co/api/v2/pokemon/34/
Clefairy,https://pokeapi.co/api/v2/pokemon/35/
Clefable,https://pokeapi.co/api/v2/pokemon/36/
Vulpix,https://pokeapi.co/api/v2/pokemon/37/
Ninetales,https://pokeapi.co/api/v2/pokemon/38/
Jigglypuff,https://pokeapi.co/api/v2/pokemon/39/
Wigglytuff,https://pokeapi.co/api/v2/pokemon/40/
Zubat,https://pokeapi.co/api/v2/pokemon/41/
Golbat,https://pokeapi.co/api/v2/pokemon/42/
Oddish,https://pokeapi.co/api/v2/pokemon/43/
Gloom,https://pokeapi.co/api/v2/pokemon/44/
Vileplume,https://pokeapi.co/api/v2/pokemon/45/
Paras,https://pokeapi.co/api/v2/pokemon/46/
Parasect,https://pokeapi.co/api/v2/pokemon/47/
Venonat,https://pokeapi.co/api/v2/pokemon/48/
Venomoth,https://pokeapi.co/api/v2/pokemon/49/
Diglett,https://pokeapi.co/api/v2/pokemon/50/
Dugtrio,https://pokeapi.co/api/v2/pokemon/51/
Meowth,https://pokeapi.co/api/v2/pokemon/52/
Persian,https://pokeapi.co/api/v2/pokemon/53/
Psyduck,https://pokeapi.co/api/v2/pokemon/54/
Golduck,https://pokeapi.co/api/v2/pokemon/55/
Mankey,https://pokeapi.co/api/v2/pokemon/56/
Primeape,https://pokeapi.co/api/v2/pokemon/57/
Growlithe,https://pokeapi.co/api/v2/pokemon/58/
Arcanine,https://pokeapi.co/api/v2/pokemon/59/
Poliwag,https://pokeapi.co/api/v2/pokemon/60/
Poliwhirl,https://pokeapi.co/api/v2/pokemon/61/
Poliwrath,https://pokeapi.co/api/v2/pokemon/62/
Abra,https://pokeapi.co/api/v2/pokemon/63/
Kadabra,https://pokeapi.co/api/v2/pokemon/64/
Alakazam,https://pokeapi.co/api/v2/pokemon/65/
Machop,https://pokeapi.co/api/v2/pokemon/66/
Machoke,https://pokeapi.co/api/v2/pokemon/67/
Machamp,https://pokeapi.co/api/v2/pokemon/68/
Bellsprout,https://pokeapi.co/api/v2/pokemon/69/
Weepinbell,https://pokeapi.co/api/v2/pokemon/70/
Victreebel,https://pokeapi.co/api/v2/pokemon/71/
Tentacool,https://pokeapi.co/api/v2/pokemon/72/
Tentacruel,https://pokeapi.co/api/v2/pokemon/73/
Geodude,https://pokeapi.co/api/v2/pokemon/74/
Graveler,https://pokeapi.co/api/v2/pokemon/75/
Golem,https://pokeapi.co/api/v2/pokemon/76/
Ponyta,https://pokeapi.co/api/v2/pokemon/77/
Rapidash,https://pokeapi.co/api/v2/pokemon/78/
Slowpoke,https://pokeapi.co/api/v2/pokemon/79/
Slowbro,https://pokeapi.co/api/v2/pokemon/80/
Magnemite,https://pokeapi.co/api/v2/pokemon/81/
Magneton,https://pokeapi.co/api/v2/pokemon/82/
Farfetchd,https://pokeapi.co/api/v2/pokemon/83/
Doduo,https://pokeapi.co/api/v2/pokemon/84/
Dodrio,https://pokeapi.co/api/v2/pokemon/85/
Seel,https://pokeapi.co/api/v2/pokemon/86/
Dewgong,https://pokeapi.co/api/v2/pokemon/87/
Grimer,https://pokeapi.co/api/v2/pokemon/88/
Muk,https://pokeapi.co/api/v2/pokemon/89/
Shellder,https://pokeapi.co/api/v2/pokemon/90/
Cloyster,https://pokeapi.co/api/v2/pokemon/91/
Gastly,https://pokeapi.co/api/v2/pokemon/92/
Haunter,https://pokeapi.co/api/v2/pokemon/93/
Gengar,https://pokeapi.co/api/v2/pokemon/94/
Onix,https://pokeapi.co/api/v2/pokemon/95/
Drowzee,https://pokeapi.co/api/v2/pokemon/96/
Hypno,https://pokeapi.co/api/v2/pokemon/97/
Krabby,https://pokeapi.co/api/v2/pokemon/98/
Kingler,https://pokeapi.co/api/v2/pokemon/99/
Voltorb,https://pokeapi.co/api/v2/pokemon/100/
