Title,Score,Episodes,Status,Year,Image
Sousou no Frieren,9.26,28.0,Finished Airing,2023.0,https://cdn.myanimelist.net/images/anime/1015/138006.jpg
Re:Zero kara Hajimeru Isekai Seikatsu 4th Season,9.19,19.0,Currently Airing,2026.0,https://cdn.myanimelist.net/images/anime/1540/155824.jpg
Steel Ball Run: JoJo no Kimyou na Bouken,9.11,,Currently Airing,,https://cdn.myanimelist.net/images/anime/1448/154111.jpg
Fullmetal Alchemist: Brotherhood,9.11,64.0,Finished Airing,2009.0,https://cdn.myanimelist.net/images/anime/1208/94745.jpg
Steins;Gate,9.07,24.0,Finished Airing,2011.0,https://cdn.myanimelist.net/images/anime/1935/127974.jpg
Chainsaw Man Movie: Reze-hen,9.06,1.0,Finished Airing,,https://cdn.myanimelist.net/images/anime/1763/150638.jpg
Shingeki no Kyojin Season 3 Part 2,9.05,10.0,Finished Airing,2019.0,https://cdn.myanimelist.net/images/anime/1517/100633.jpg
Gintama°,9.05,51.0,Finished Airing,2015.0,https://cdn.myanimelist.net/images/anime/3/72078.jpg
Gintama: The Final,9.05,1.0,Finished Airing,,https://cdn.myanimelist.net/images/anime/1245/116760.jpg
Hunter x Hunter (2011),9.03,148.0,Finished Airing,2011.0,https://cdn.myanimelist.net/images/anime/1337/99013.jpg
Gintama',9.02,51.0,Finished Airing,2011.0,https://cdn.myanimelist.net/images/anime/4/50361.jpg
Gintama': Enchousen,9.02,13.0,Finished Airing,2012.0,https://cdn.myanimelist.net/images/anime/1452/123686.jpg
Ginga Eiyuu Densetsu,9.02,110.0,Finished Airing,,https://cdn.myanimelist.net/images/anime/1976/142016.jpg
One Piece Fan Letter,9.01,1.0,Finished Airing,,https://cdn.myanimelist.net/images/anime/1455/146229.jpg
Gintama.,8.98,12.0,Finished Airing,2017.0,https://cdn.myanimelist.net/images/anime/3/83528.jpg
Bleach: Sennen Kessen-hen,8.98,13.0,Finished Airing,2022.0,https://cdn.myanimelist.net/images/anime/1908/135431.jpg
Kaguya-sama wa Kokurasetai: Ultra Romantic,8.95,13.0,Finished Airing,2022.0,https://cdn.myanimelist.net/images/anime/1160/122627.jpg
Fruits Basket: The Final,8.93,13.0,Finished Airing,2021.0,https://cdn.myanimelist.net/images/anime/1085/114792.jpg
Clannad: After Story,8.93,24.0,Finished Airing,2008.0,https://cdn.myanimelist.net/images/anime/1299/110774.jpg
Gintama,8.93,201.0,Finished Airing,2006.0,https://cdn.myanimelist.net/images/anime/10/73274.jpg
Koe no Katachi,8.93,1.0,Finished Airing,,https://cdn.myanimelist.net/images/anime/1122/96435.jpg
Code Geass: Hangyaku no Lelouch R2,8.92,25.0,Finished Airing,2008.0,https://cdn.myanimelist.net/images/anime/1088/135089.jpg
Kusuriya no Hitorigoto 2nd Season,8.91,24.0,Finished Airing,2025.0,https://cdn.myanimelist.net/images/anime/1025/147458.jpg
3-gatsu no Lion 2nd Season,8.9,22.0,Finished Airing,2017.0,https://cdn.myanimelist.net/images/anime/3/88469.jpg
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.89,1.0,Finished Airing,,https://cdn.myanimelist.net/images/anime/10/51723.jpg
