0,1,2
Blue Top,Rs. 500,https://automationexercise.com/get_product_picture/1
Men  Tshirt,Rs. 400,https://automationexercise.com/get_product_picture/2
Sleeveless  Dress,Rs. 1000,https://automationexercise.com/get_product_picture/3
Stylish Dress,Rs. 1500,https://automationexercise.com/get_product_picture/4
Winter Top,Rs. 600,https://automationexercise.com/get_product_picture/5
Summer White Top,Rs. 400,https://automationexercise.com/get_product_picture/6
Madame Top For Women,Rs. 1000,https://automationexercise.com/get_product_picture/7
Fancy Green Top,Rs. 700,https://automationexercise.com/get_product_picture/8
Sleeves Printed Top - WhiteProduct catalog service,Rs. 499,https://automationexercise.com/get_product_picture/11
Half Sleeves Top Schiffli Detailing - PinkT-Shirts,Rs. 359,https://automationexercise.com/get_product_picture/12
Frozen Tops For Kids,Rs. 278,https://automationexercise.com/get_product_picture/13
Full Sleeves Top Cherry - PinkSeasonal clothing collections,Rs. 679,https://automationexercise.com/get_product_picture/14
Printed Off Shoulder Top - White,Rs. 315,https://automationexercise.com/get_product_picture/15
Sleeves Top and Short - Blue & Pink,Rs. 478,https://automationexercise.com/get_product_picture/16
Little Girls Mr. Panda Shirt,Rs. 1200,https://automationexercise.com/get_product_picture/18
Sleeveless Unicorn Patch Gown - PinkPeople & Society,Rs. 1050,https://automationexercise.com/get_product_picture/19
Cotton Mull Embroidered Dress,Rs. 1190,https://automationexercise.com/get_product_picture/20
Blue Cotton Indie Mickey Dress,Rs. 1530,https://automationexercise.com/get_product_picture/21
Long Maxi Tulle Fancy Dress Up Outfits -PinkTops & Shirts,Rs. 1600,https://automationexercise.com/get_product_picture/22
Sleeveless Unicorn Print Fit & Flare Net Dress - MultiT-Shirts,Rs. 1100,https://automationexercise.com/get_product_picture/23
Colour Blocked Shirt – Sky BlueTextiles & Nonwovens,Rs. 849,https://automationexercise.com/get_product_picture/24
Pure Cotton V-Neck  T-Shirt,Rs. 1299,https://automationexercise.com/get_product_picture/28
Green Side Placket Detail T-Shirt,Rs. 1000,https://automationexercise.com/get_product_picture/29
Premium Polo T-Shirts,Rs. 1500,https://automationexercise.com/get_product_picture/30
Pure Cotton Neon Green Tshirt,Rs. 850,https://automationexercise.com/get_product_picture/31
Soft Stretch Jeans,Rs. 799,https://automationexercise.com/get_product_picture/33
Regular Fit Straight Jeans,Rs. 1200,https://automationexercise.com/get_product_picture/35
Grunt Blue Slim Fit Jeans,Rs. 1400,https://automationexercise.com/get_product_picture/37
Rose Pink Embroidered Maxi Dress,Rs. 2300,https://automationexercise.com/get_product_picture/38
Cotton Silk Hand Block Print Saree,Rs. 3000,https://automationexercise.com/get_product_picture/39
Rust Red Linen Saree,Rs. 3500,https://automationexercise.com/get_product_picture/40
Beautiful Peacock Blue Cotton Linen Saree,Rs. 5000,https://automationexercise.com/get_product_picture/41
Lace Top For Women,Rs. 1400,https://automationexercise.com/get_product_picture/42
GRAPHIC DESIGN MEN T SHIRT - BLUESeasonal clothing collections,Rs. 1389,https://automationexercise.com/get_product_picture/43
