Song,Artist,Duration
Dai Dai,Shakira,3:43
Billie Jean,Michael Jackson,4:53
Beauty And A Beat,Justin Bieber,3:47
hate that i made you love me,Ariana Grande,3:17
SWIM,BTS,2:39
stupid song,Olivia Rodrigo,3:29
Babydoll,Dominic Fike,1:37
Earrings,Malcolm Todd,2:31
the cure,Olivia Rodrigo,4:57
drop dead,Olivia Rodrigo,3:44
Beat It,Michael Jackson,4:18
Self Aware,Temper City,3:00
The One That Got Away,Katy Perry,3:47
back to friends,sombr,3:19
honeybee,Olivia Rodrigo,3:43
Iris,The Goo Goo Dolls,4:49
End of Beginning,Djo,2:39
Choosin' Texas,Ella Langley,3:51
Man I Need,Olivia Dean,3:04
DtMF,Bad Bunny,3:57
The Fate of Ophelia,Taylor Swift,3:46
Janice STFU,Drake,3:57
Die With A Smile,Lady Gaga,4:11
ICONIC BY MISTAKE,LE SSERAFIM,2:57
