College,Ranking,Cutoff,Application_Deadline,Fees
,,,,
"<div class=""jsx-831255015 text-dark college-name"">IIT Delhi - Indian Institute of Technology [IITD]</div>","<span class=""jsx-831255015 rank text-gray"">#1</span>","<div class=""jsx-831255015 cutoff text-dark"">JEE-Advanced 2026 Cut off<!-- --> <span class=""jsx-831255015 cutoff-data"">403</span></div>","<div class=""jsx-831255015 date"">14 Mar<!-- --> - <!-- -->03 Apr 2026</div>","<div class=""jsx-831255015 fees text-dark"">₹11,74,150</div>"
"<div class=""jsx-831255015 text-dark college-name"">IIMA - Indian Institute of Management</div>","<span class=""jsx-831255015 rank text-gray"">#2</span>","<div class=""jsx-831255015 cutoff text-dark"">CAT 2025 Cut off<!-- --> <span class=""jsx-831255015 cutoff-data"">99</span></div>","<div class=""jsx-831255015 date"">7 July<!-- --> - <!-- -->08 Sept 2026</div>","<div class=""jsx-831255015 fees text-dark"">₹27,50,000</div>"
"<div class=""jsx-831255015 text-dark college-name"">All India Institute of Medical Sciences - [AIIMS]</div>","<span class=""jsx-831255015 rank text-gray"">#3</span>","<div class=""jsx-831255015 cutoff text-dark"">INI-CET 2026 Cut off<!-- --> <span class=""jsx-831255015 cutoff-data"">2412</span></div>","<div class=""jsx-831255015 date"">25 Mar<!-- --> - <!-- -->10 May 2026</div>","<div class=""jsx-831255015 fees text-dark"">₹39,095</div>"
"<div class=""jsx-831255015 text-dark college-name"">National Law School of India University - [NLSIU]</div>","<span class=""jsx-831255015 rank text-gray"">#4</span>","<div class=""jsx-831255015 cutoff text-dark"">CLAT 2026 Cut off<!-- --> <span class=""jsx-831255015 cutoff-data"">120</span></div>","<div class=""jsx-831255015 date"">15 Nov<!-- --> - <!-- -->23 Mar 2026</div>","<div class=""jsx-831255015 fees text-dark"">₹15,56,800</div>"
"<div class=""jsx-831255015 text-dark college-name"">Maulana Azad Medical College - [MAMC]</div>","<span class=""jsx-831255015 rank text-gray"">#5</span>","<div class=""jsx-831255015 cutoff text-dark"">NEET 2025 Cut off<!-- --> <span class=""jsx-831255015 cutoff-data"">103</span></div>","<div class=""jsx-831255015 date"">12 Aug<!-- --> - <!-- -->20 Aug 2026</div>","<div class=""jsx-831255015 fees text-dark"">₹12,900</div>"
"<div class=""jsx-831255015 text-dark college-name"">IIT Bombay - Indian Institute of Technology - [IITB]</div>","<span class=""jsx-831255015 rank text-gray"">#6</span>","<div class=""jsx-831255015 cutoff text-dark"">JEE-Advanced 2026 Cut off<!-- --> <span class=""jsx-831255015 cutoff-data"">67</span></div>","<div class=""jsx-831255015 date"">14 Mar<!-- --> - <!-- -->03 Apr 2026</div>","<div class=""jsx-831255015 fees text-dark"">₹11,95,800</div>"
"<div class=""jsx-831255015 text-dark college-name"">IIMC - Indian Institute of Management</div>","<span class=""jsx-831255015 rank text-gray"">#7</span>","<div class=""jsx-831255015 cutoff text-dark"">CAT 2025 Cut off<!-- --> <span class=""jsx-831255015 cutoff-data"">99</span></div>","<div class=""jsx-831255015 date"">7 July<!-- --> - <!-- -->20 Aug 2026</div>","<div class=""jsx-831255015 fees text-dark"">₹33,50,000</div>"
"<div class=""jsx-831255015 text-dark college-name"">Shri Ram College of Commerce - [SRCC]</div>","<span class=""jsx-831255015 rank text-gray"">#8</span>","<div class=""jsx-831255015 cutoff text-dark"">CUET 2026 Cut off<!-- --> <span class=""jsx-831255015 cutoff-data"">897.44</span></div>","<div class=""jsx-831255015 date"">3 Jan<!-- --> - <!-- -->30 Jan 2026</div>","<div class=""jsx-831255015 fees text-dark"">₹1,25,080</div>"
"<div class=""jsx-831255015 text-dark college-name"">Institute of Hotel Management, Catering and Nutrition - [IHM], Pusa</div>","<span class=""jsx-831255015 rank text-gray"">#9</span>","<div class=""jsx-831255015 cutoff text-dark"">NCHMCT-JEE 2026 Cut off<!-- --> <span class=""jsx-831255015 cutoff-data"">44</span></div>","<div class=""jsx-831255015 date"">1 Feb<!-- --> - <!-- -->31 Jul 2026</div>","<div class=""jsx-831255015 fees text-dark"">₹10,62,515</div>"
"<div class=""jsx-831255015 text-dark college-name"">School of Planning and Architecture - [SPA]</div>","<span class=""jsx-831255015 rank text-gray"">#10</span>","<div class=""jsx-831255015 cutoff text-dark"">JEE-Main 2026 Cut off<!-- --> <span class=""jsx-831255015 cutoff-data"">153</span></div>","<div class=""jsx-831255015 date"">2 June<!-- --> - <!-- -->11 Jun 2026</div>","<div class=""jsx-831255015 fees text-dark"">₹4,21,410</div>"
