quote,author,likes,tags,image
“Be yourself; everyone else is already taken.”―Oscar Wilde,Oscar Wilde,178393 likes,,
"“I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”―Marilyn Monroe",Marilyn Monroe,165798 likes,"tags:attributed-no-source,best,life,love,misattributed-marilyn-monroe,mistakes,out-of-control,truth,worst",
"“So many books, so little time.”―Frank Zappa",Frank Zappa,152515 likes,"tags:books,humor",
“Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”―Albert Einstein,Albert Einstein,148973 likes,"tags:attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe",
“A room without books is like a body without a soul.”―Marcus Tullius Cicero,Marcus Tullius Cicero,136017 likes,"tags:attributed-no-source,books,simile,soul",
"“Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.”―Bernard M. Baruch",Bernard M. Baruch,130581 likes,"tags:ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter",
"“You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.”―William W. Purkey",William W. Purkey,129327 likes,"tags:dance,heaven,hurt,inspirational,life,love,sing",
“You know you're in love when you can't fall asleep because reality is finally better than your dreams.”―Dr. Seuss,Dr. Seuss,127666 likes,"tags:attributed-no-source,dreams,love,reality,sleep",
"“You only live once, but if you do it right, once is enough.”―Mae West",Mae West,119556 likes,"tags:humor,life",
“Be the change that you wish to see in the world.”―Mahatma Gandhi,Mahatma Gandhi,114694 likes,"tags:action,change,inspirational,misattributed-to-gandhi,philosophy,wish",
“In three words I can sum up everything I've learned about life: it goes on.”―Robert Frost,Robert Frost,109624 likes,tags:life,
"“If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”―J.K. Rowling,Harry Potter and the Goblet of Fire","J.K. Rowling,",101780 likes,,
“Don’t walk in front of me… I may not followDon’t walk behind me… I may not leadWalk beside me… just be my friend”―Albert Camus,Albert Camus,93877 likes,"tags:attributed-no-source,friends,friendship,misattributed-albert-camus",
"“If you tell the truth, you don't have to remember anything.”―Mark Twain",Mark Twain,92567 likes,"tags:lies,lying,memory,truth",
"“I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.”―Maya Angelou",Maya Angelou,89650 likes,,
"“Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .”―C.S. Lewis,The Four Loves","C.S. Lewis,",88243 likes,tags:friendship,
"“To live is the rarest thing in the world. Most people exist, that is all.”―Oscar Wilde",Oscar Wilde,85286 likes,,
“A friend is someone who knows all about you and still loves you.”―Elbert Hubbard,Elbert Hubbard,84452 likes,,
“Always forgive your enemies; nothing annoys them so much.”―Oscar Wilde,Oscar Wilde,82078 likes,"tags:attributed-no-source,enemies,forgiveness,strategy",
"“Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”―Martin Luther King Jr.,A Testament of Hope: The Essential Writings and Speeches","Martin Luther King Jr.,",78616 likes,"tags:darkness,drive-out,hate,inspirational,light,love,peace",
“Live as if you were to die tomorrow. Learn as if you were to live forever.”―Mahatma Gandhi,Mahatma Gandhi,77934 likes,"tags:carpe-diem,education,inspirational,learning",
"“We accept the love we think we deserve.”―Stephen Chbosky,The Perks of Being a Wallflower","Stephen Chbosky,",76946 likes,"tags:inspirational,love",
