0,1,2,3,4,5,6
,,,,,,
EURUSD=X,EUR/USD,,1.1404-0.0022(-0.19%),-0.0022,-0.19%,1.131.20
JPY=X,USD/JPY,,162.6520+0.1040(+0.06%),+0.1040,+0.06%,142.70162.84
GBPUSD=X,GBP/USD,,1.3242-0.0021(-0.16%),-0.0021,-0.16%,1.301.38
AUDUSD=X,AUD/USD,,0.6893-0.0028(-0.41%),-0.0028,-0.41%,0.640.73
NZDUSD=X,NZD/USD,,0.5676-0.0005(-0.09%),-0.0005,-0.09%,0.560.61
EURJPY=X,EUR/JPY,,185.4230-0.1990(-0.11%),-0.1990,-0.11%,168.46187.94
GBPJPY=X,GBP/JPY,,215.3630-0.1340(-0.06%),-0.1340,-0.06%,195.04216.59
EURGBP=X,EUR/GBP,,0.8609-0.0001(-0.01%),-0.0001,-0.01%,0.860.89
EURCAD=X,EUR/CAD,,1.6208-0.0001(-0.01%),-0.0001,-0.01%,1.561.65
EURSEK=X,EUR/SEK,,11.0906+0.0116(+0.11%),+0.0116,+0.11%,10.5011.33
EURCHF=X,EUR/CHF,,0.9230+0.0002(+0.02%),+0.0002,+0.02%,0.900.94
EURHUF=X,EUR/HUF,,356.4270+1.0970(+0.31%),+1.0970,+0.31%,348.51400.95
CNY=X,USD/CNY,,6.7946+0.0163(+0.24%),+0.0163,+0.24%,6.767.21
HKD=X,USD/HKD,,7.8436+0.0023(+0.03%),+0.0023,+0.03%,7.777.85
SGD=X,USD/SGD,,1.2960+0.0030(+0.23%),+0.0030,+0.23%,1.261.31
INR=X,USD/INR,,94.7250+0.0750(+0.08%),+0.0750,+0.08%,84.5697.05
MXN=X,USD/MXN,,17.5230+0.0480(+0.27%),+0.0480,+0.27%,17.0718.98
PHP=X,USD/PHP,,61.5700+0.2170(+0.35%),+0.2170,+0.35%,52.1061.89
IDR=X,USD/IDR,,"17,955.0000-2.0000(-0.01%)",-2.0000,-0.01%,"15,636.2018,222.00"
THB=X,USD/THB,,33.3900+0.1800(+0.54%),+0.1800,+0.54%,30.8233.47
MYR=X,USD/MYR,,4.0920+0.0100(+0.24%),+0.0100,+0.24%,3.884.28
ZAR=X,USD/ZAR,,16.4403+0.0699(+0.43%),+0.0699,+0.43%,15.6318.36
RUB=X,USD/RUB,,79.2400+0.6540(+0.83%),+0.6540,+0.83%,70.0886.62
,,,,,,
,,,,,,
EURUSD=X,EUR/USD,,1.1404-0.0022(-0.19%),-0.0022,-0.19%,1.131.20
JPY=X,USD/JPY,,162.6520+0.1040(+0.06%),+0.1040,+0.06%,142.70162.84
GBPUSD=X,GBP/USD,,1.3242-0.0021(-0.16%),-0.0021,-0.16%,1.301.38
AUDUSD=X,AUD/USD,,0.6893-0.0028(-0.41%),-0.0028,-0.41%,0.640.73
NZDUSD=X,NZD/USD,,0.5676-0.0005(-0.09%),-0.0005,-0.09%,0.560.61
EURJPY=X,EUR/JPY,,185.4230-0.1990(-0.11%),-0.1990,-0.11%,168.46187.94
GBPJPY=X,GBP/JPY,,215.3630-0.1340(-0.06%),-0.1340,-0.06%,195.04216.59
EURGBP=X,EUR/GBP,,0.8609-0.0001(-0.01%),-0.0001,-0.01%,0.860.89
EURCAD=X,EUR/CAD,,1.6208-0.0001(-0.01%),-0.0001,-0.01%,1.561.65
EURSEK=X,EUR/SEK,,11.0906+0.0116(+0.11%),+0.0116,+0.11%,10.5011.33
EURCHF=X,EUR/CHF,,0.9230+0.0002(+0.02%),+0.0002,+0.02%,0.900.94
EURHUF=X,EUR/HUF,,356.4270+1.0970(+0.31%),+1.0970,+0.31%,348.51400.95
CNY=X,USD/CNY,,6.7946+0.0163(+0.24%),+0.0163,+0.24%,6.767.21
HKD=X,USD/HKD,,7.8436+0.0023(+0.03%),+0.0023,+0.03%,7.777.85
SGD=X,USD/SGD,,1.2960+0.0030(+0.23%),+0.0030,+0.23%,1.261.31
INR=X,USD/INR,,94.7250+0.0750(+0.08%),+0.0750,+0.08%,84.5697.05
MXN=X,USD/MXN,,17.5230+0.0480(+0.27%),+0.0480,+0.27%,17.0718.98
PHP=X,USD/PHP,,61.5700+0.2170(+0.35%),+0.2170,+0.35%,52.1061.89
IDR=X,USD/IDR,,"17,955.0000-2.0000(-0.01%)",-2.0000,-0.01%,"15,636.2018,222.00"
THB=X,USD/THB,,33.3900+0.1800(+0.54%),+0.1800,+0.54%,30.8233.47
MYR=X,USD/MYR,,4.0920+0.0100(+0.24%),+0.0100,+0.24%,3.884.28
ZAR=X,USD/ZAR,,16.4403+0.0699(+0.43%),+0.0699,+0.43%,15.6318.36
RUB=X,USD/RUB,,79.2400+0.6540(+0.83%),+0.6540,+0.83%,70.0886.62
,,,,,,
