0,1,2,3,4,5,6
,,,,,,
EURUSD=X,EUR/USD,,1.1375-0.0006(-0.06%),-0.0006,-0.06%,1.131.20
JPY=X,USD/JPY,,163.7910+0.0290(+0.02%),+0.0290,+0.02%,146.22163.98
GBPUSD=X,GBP/USD,,1.3319+0.0002(+0.02%),+0.0002,+0.02%,1.301.38
AUDUSD=X,AUD/USD,,0.6983+0.0015(+0.22%),+0.0015,+0.22%,0.640.73
NZDUSD=X,NZD/USD,,0.5789+0.0017(+0.29%),+0.0017,+0.29%,0.560.61
EURJPY=X,EUR/JPY,,186.2450-0.1070(-0.06%),-0.1070,-0.06%,169.72187.94
GBPJPY=X,GBP/JPY,,218.2910+0.3020(+0.14%),+0.3020,+0.14%,195.04219.52
EURGBP=X,EUR/GBP,,0.8532-0.0012(-0.13%),-0.0012,-0.13%,0.850.89
EURCAD=X,EUR/CAD,,1.6018-0.0001(-0.00%),-0.0001,-0.00%,1.561.65
EURSEK=X,EUR/SEK,,11.0464-0.0553(-0.50%),-0.0553,-0.50%,10.5011.22
EURCHF=X,EUR/CHF,,0.9297+0.0009(+0.09%),+0.0009,+0.09%,0.900.94
EURHUF=X,EUR/HUF,,360.5000-3.6500(-1.00%),-3.6500,-1.00%,348.51400.49
CNY=X,USD/CNY,,6.7718+0.0051(+0.08%),+0.0051,+0.08%,6.767.21
HKD=X,USD/HKD,,7.8414+0.0014(+0.02%),+0.0014,+0.02%,7.777.85
SGD=X,USD/SGD,,1.2901-0.0014(-0.11%),-0.0014,-0.11%,1.261.31
INR=X,USD/INR,,96.5600-0.0030(-0.00%),-0.0030,-0.00%,85.8697.05
MXN=X,USD/MXN,,17.4750-0.0030(-0.02%),-0.0030,-0.02%,17.0718.98
PHP=X,USD/PHP,,61.8200+0.0700(+0.11%),+0.0700,+0.11%,52.1061.92
IDR=X,USD/IDR,,"17,935.0000+25.0000(+0.14%)",+25.0000,+0.14%,"15,636.2018,222.00"
THB=X,USD/THB,,33.6900-0.1100(-0.33%),-0.1100,-0.33%,30.8233.86
MYR=X,USD/MYR,,4.0895+0.0025(+0.06%),+0.0025,+0.06%,3.884.28
ZAR=X,USD/ZAR,,16.8248+0.0075(+0.04%),+0.0075,+0.04%,15.6318.36
RUB=X,USD/RUB,,77.5750-0.8610(-1.10%),-0.8610,-1.10%,70.0886.62
