Student_Id,Gender,Age,Department,Residence,Family Income,Attendance_percentage,Semester_GPA,Internal_Assesment_Score,Backlogs,Assignment_Submission_Rate,LMS_login_fequency,Library_visits,Club_participation,Scholarship_Status,Consecutive_Absence_Days,Academic_Warnings,Tution_Fee_Due,Dropout
STU00001,Male,20,CSE,Hosteler,63779,94.3,7.15,93,0,82.2,1,6,0,0,8,2,0,0
STU00002,Feamle,24,MC,Day Scholar,171567,75.9,7.07,2,0,100.0,0,3,0,0,7,0,0,0
STU00003,Male,20,CSE,Hosteler,59602,75.0,8.86,63,1,82.6,1,7,0,0,1,0,0,0
STU00004,Male,23,AIML,Day Scholar,160105,84.5,8.94,28,0,83.8,1,5,0,0,0,0,0,0
STU00005,Male,21,MC,Hosteler,171514,98.6,7.01,53,1,75.5,0,6,0,0,8,0,0,0
STU00006,Feamle,20,MC,Day Scholar,23247,97.7,6.66,6,1,86.0,0,4,0,0,13,0,0,0
STU00007,Male,22,ECE,Day Scholar,151012,83.9,7.78,24,0,83.6,3,6,0,0,2,2,1,0
STU00008,Male,20,AIML,Hosteler,126284,82.7,8.59,23,0,67.0,0,3,1,0,6,0,0,0
STU00009,Male,22,MC,Hosteler,176546,85.4,7.83,42,0,92.6,2,6,0,0,8,1,0,0
STU00010,Feamle,24,CSE,Day Scholar,156658,89.8,6.35,5,0,53.5,0,6,0,0,13,2,0,0
STU00011,Male,20,AIML,Day Scholar,76228,94.5,6.08,14,0,81.9,0,6,0,0,10,1,0,0
STU00012,Male,22,ECE,Day Scholar,27940,71.5,5.33,78,1,100.0,0,6,1,0,0,0,1,0
STU00013,Male,20,AIML,Hosteler,38606,94.8,7.29,39,1,51.1,1,4,0,0,11,0,0,0
STU00014,Male,24,CSE,Day Scholar,127753,80.1,7.93,90,1,60.5,0,5,0,1,5,0,0,0
STU00015,Feamle,20,ECE,Hosteler,60747,84.8,8.1,60,0,100.0,1,6,0,0,6,0,0,0
STU00016,Male,19,CSE,Hosteler,185354,95.7,8.73,20,2,96.3,1,6,1,0,14,0,0,0
STU00017,Feamle,22,AIML,Day Scholar,77760,86.2,9.22,57,0,60.2,1,6,0,0,11,2,1,0
STU00018,Feamle,24,ECE,Hosteler,22883,88.7,4.94,95,0,56.0,1,7,1,0,5,0,0,0
STU00019,Feamle,22,CSE,Day Scholar,187666,69.2,7.61,31,2,35.2,0,3,0,1,14,0,0,0
STU00020,Male,22,AIML,Day Scholar,89875,97.5,7.66,11,0,44.1,0,4,1,0,7,2,1,0
STU00021,Feamle,18,CSE,Day Scholar,108209,85.4,6.89,8,1,75.6,1,5,0,0,4,1,0,0
STU00022,Male,24,MC,Day Scholar,166498,76.9,5.76,19,1,100.0,0,10,0,0,11,0,0,0
STU00023,Feamle,20,AIML,Day Scholar,167558,91.5,9.17,14,1,100.0,1,6,0,0,10,0,0,0
STU00024,Feamle,22,ECE,Day Scholar,96085,100.0,6.12,76,0,95.8,1,1,0,0,6,0,0,0
STU00025,Feamle,23,ECE,Day Scholar,23993,57.5,3.71,7,0,51.6,1,3,0,0,10,0,0,0
STU00026,Feamle,18,MC,Day Scholar,163291,62.9,7.03,20,2,100.0,0,6,1,1,6,0,0,0
STU00027,Feamle,19,CSE,Hosteler,23708,100.0,6.64,44,0,92.6,0,3,0,1,13,2,0,0
STU00028,Feamle,22,CSE,Hosteler,48788,81.4,9.79,88,0,50.6,1,4,1,0,6,0,0,0
STU00029,Feamle,22,ECE,Hosteler,21495,77.9,7.73,98,1,55.3,0,5,0,0,2,0,0,0
STU00030,Feamle,18,CSE,Day Scholar,187232,73.3,6.54,39,0,96.2,0,8,0,0,7,0,0,0
STU00031,Male,20,AIML,Day Scholar,130002,93.1,6.7,93,0,97.5,0,5,0,1,7,2,0,0
STU00032,Male,23,AIML,Hosteler,158609,100.0,6.69,94,1,72.1,0,8,1,0,13,0,1,0
STU00033,Feamle,19,ECE,Hosteler,186625,65.0,10.0,5,0,70.1,0,1,1,0,14,0,0,0
STU00034,Feamle,22,AIML,Day Scholar,173275,73.5,8.01,10,0,89.7,1,8,1,0,8,0,0,0
STU00035,Feamle,20,ECE,Day Scholar,145114,69.7,4.89,63,0,83.6,0,6,0,0,1,0,0,0
STU00036,Male,24,CSE,Day Scholar,138347,86.0,6.63,41,0,92.2,0,3,0,0,7,0,0,0
STU00037,Feamle,23,CSE,Hosteler,91124,93.3,6.96,58,1,51.3,0,5,0,0,5,0,0,0
STU00038,Male,24,CSE,Hosteler,123106,99.3,5.34,7,1,79.7,0,3,0,0,4,0,0,0
STU00039,Male,23,MC,Hosteler,57659,86.5,4.33,71,0,87.2,0,7,0,0,3,0,0,0
STU00040,Male,19,ECE,Hosteler,131064,100.0,7.89,54,1,83.9,0,5,1,1,14,0,1,0
